title,item_category,price,date,store
Напиток овсяный Nemoloko классический 1.5% 200мл,moloko,29.99,10.11.2024,Магнит
Напиток овсяный Nemoloko Шоколадный 3.2% 200мл,moloko,29.99,10.11.2024,Магнит
Напиток овсяный Nemoloko Классический 3.2% 1л,moloko,92.99,10.11.2024,Магнит
Напиток овсяный Nemoloko Шоколадный 3.2% 1л,moloko,104.99,10.11.2024,Магнит
Напиток Green Milk соевый банан 1% 1л,moloko,109.99,10.11.2024,Магнит
Напиток Nemoloko Миндальный 1л,moloko,109.99,10.11.2024,Магнит
Напиток Nemoloko Кокосовый 1л,moloko,109.99,10.11.2024,Магнит
Напиток Green Milk Ферменный ячменно-нутовый кокос 1л,moloko,114.99,10.11.2024,Магнит
Масло сладко-сливочное Молочные угодья несоленое 72.5% 180г,maslo,119.99,10.11.2024,Магнит
Масло сливочное Щедрая Русь шоколадное 62% 170г,maslo,129.99,10.11.2024,Магнит
Масло сливочное Варну Традиционное 82.5% 180г,maslo,159.99,10.11.2024,Магнит
Масло сливочное Магнит Крестьянское 72.5% 180г,maslo,173.99,10.11.2024,Магнит
Масло сладко-сливочное Искренне Ваш 82.5% 180г,maslo,189.99,10.11.2024,Магнит
Масло сливочное Домик в деревне Крестьянское 72.5% 180г,maslo,199.99,10.11.2024,Магнит
Масло сливочное Северное Молоко Крестьянское из Вологды 72.5% 180г,maslo,229.99,10.11.2024,Магнит
Масло сливочное Вкуснотеево Традиционное 82.5% 200г,maslo,249.99,10.11.2024,Магнит
Масло сливочное Молочные угодья Крестьянское 72.5% 400г,maslo,259.99,10.11.2024,Магнит
Масло сливочное Брест-Литовск 72.5% 180г,maslo,259.99,10.11.2024,Магнит
Масло сладко-сливочное Росэкспопром 82.5% 180г,maslo,269.99,10.11.2024,Магнит
Масло сладко-сливочное Брест-Литовск 82.5% 180г,maslo,269.99,10.11.2024,Магнит
Масло сливочное Белорусское 82.5% 180г,maslo,269.99,10.11.2024,Магнит
Масло сливочное Экомилк 82.5% 180г,maslo,274.99,10.11.2024,Магнит
Топленая смесь Хозяюшка 99.7% 800г,maslo,284.99,10.11.2024,Магнит
Масло сливочное Северное молоко Из Вологды 82.5% 360г,maslo,419.99,10.11.2024,Магнит
Масло сливочное Вкуснотеево Традиционное 82.5% 340г,maslo,449.99,10.11.2024,Магнит
Крупа Магнит гречневая ядрица 800г,krupa,66.19,10.11.2024,Магнит
Крупа Увелка Гречневая ядрица Экстра 5пак*80г,krupa,69.99,10.11.2024,Магнит
Гречка ядрица Prosto для гарнира 500г,krupa,109.99,10.11.2024,Магнит
Гречневая крупа Агро-альянс Экстра 900г,krupa,129.99,10.11.2024,Магнит
Макароны Моя цена Вермишель 400г,makarony,18.79,10.11.2024,Магнит
Макароны Моя цена Спагетти 400г,makarony,19.99,10.11.2024,Магнит
Макароны Моя цена Рожки 400г,makarony,20.99,10.11.2024,Магнит
Макароны Магнит Ракушки 400/450г,makarony,35.99,10.11.2024,Магнит
Макароны Магнит Спагетти 500г,makarony,35.99,10.11.2024,Магнит
Макароны Магнит Вермишель 400/450г,makarony,35.99,10.11.2024,Магнит
Макароны Магнит Лапша 450г,makarony,41.99,10.11.2024,Магнит
Лапша Восточный Гость Яичная по-домашнему 130г,makarony,44.99,10.11.2024,Магнит
Макароны Шебекинские №2 Спагетти тонкие 450г,makarony,52.99,10.11.2024,Магнит
Макароны Шебекинские №202 Рожок полубублик 450г,makarony,54.99,10.11.2024,Магнит
Макароны Gusto di Roma Penne Rigate Перья 400г,makarony,59.99,10.11.2024,Магнит
Макароны Gusto di Roma Fusilli Спирали 400г,makarony,59.99,10.11.2024,Магнит
Лапша Gusto di Roma Tagliatelle из твердых сортов 400г,makarony,59.99,10.11.2024,Магнит
Спагетти Gusto di Roma Spaghettini из твердых сортов 450г,makarony,59.99,10.11.2024,Магнит
Макароны Тверь МК Пружинки 900г,makarony,69.99,10.11.2024,Магнит
Макароны Шебекинские №111 Вермишелька легкая 450г,makarony,76.59,10.11.2024,Магнит
Макароны Pasteroni Грандине Птитим №122 400г,makarony,91.99,10.11.2024,Магнит
Макароны Makfa Спагетти №16 Группа А 450г,makarony,79.99,10.11.2024,Магнит
Лагман-лапша Шебекинские 350г,makarony,75.99,10.11.2024,Магнит
Макароны Makfa Петушиные гребешки 450г,makarony,79.99,10.11.2024,Магнит
Макароны Makfa Перья 450г,makarony,79.99,10.11.2024,Магнит
Макароны Шебекинские №395 Улитка Сабо 450г,makarony,79.99,10.11.2024,Магнит
Макароны Makfa Виток 450г,makarony,79.99,10.11.2024,Магнит
Макароны Makfa Паутинка 450г,makarony,79.99,10.11.2024,Магнит
Макароны Шебекинские №366 Спирали 450г,makarony,79.99,10.11.2024,Магнит
Макароны Шебекинские №400 Бабочки 350г,makarony,58.99,10.11.2024,Магнит
Макароны Barilla Penne Rigate Перья 450г,makarony,82.99,10.11.2024,Магнит
Макароны Barilla Spaghetti №5 Спагетти 450г,makarony,82.99,10.11.2024,Магнит
Макароны Makfa Лапша Гнезда тальятелле 450г,makarony,99.99,10.11.2024,Магнит
Макароны Pasteroni Спиральки №125 800г,makarony,109.99,10.11.2024,Магнит
Макаронные изделия Pasteroni Спагетти №114 800г,makarony,109.99,10.11.2024,Магнит
Макароны La Molisana Farfalle №66 450г,makarony,149.99,10.11.2024,Магнит
Макароны La Molisana Spaghetti №15 450г,makarony,149.99,10.11.2024,Магнит
Яйцо столовое С2 10шт,aitsa,73.99,10.11.2024,Магнит
Яйцо куриное Пользики С0 6шт,aitsa,79.99,10.11.2024,Магнит
Яйцо столовое C1 10шт,aitsa,89.99,10.11.2024,Магнит
Яйцо куриное Волжанин столовое С1 10шт,aitsa,119.99,10.11.2024,Магнит
Яйца Роскар Яркоvо С1 10шт,aitsa,129.99,10.11.2024,Магнит
Яйцо куриное Активита Селен и йод С1 10шт,aitsa,129.99,10.11.2024,Магнит
Яйца куриные Роскар ПФ Экстра С0 10шт,aitsa,139.99,10.11.2024,Магнит
Яйца перепелиные 20шт,aitsa,159.99,10.11.2024,Магнит
Яйцо столовое C1 30шт,aitsa,259.99,10.11.2024,Магнит
Сосиски Моя цена Деревенские 300г ,sosiski,35.99,10.11.2024,Магнит
Сосиски Delikaiser Сливочные 320г,sosiski,99.99,10.11.2024,Магнит
Сосиски Владимирский стандарт Баварские 400г,sosiski,99.99,10.11.2024,Магнит
Сосиски Рахмат Мусульманские 400г,sosiski,99.99,10.11.2024,Магнит
